00:52:06 | INFO | base_ammeter.py:31 | CircutorAmmeter is running on port 5002
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53727)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5435630358634128, 0.174521103346097, 0.2558570937580308, 0.14872891656656623, 0.8309337644536907, 0.15910212312546912, 0.3626761489255905, 0.4942148358144751, 0.35978426411605036, 0.5126152705074111], Time Step: 0.00932891405157741s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.035841655661828384A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53728)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.738469954999154, 0.7585103105315648, 0.11675820636401815, 0.4408134475935187, 0.850984263375476, 0.5054826537182422, 0.18732539310966936, 0.6004526646898416, 0.4869356197448552, 0.9580006596232818], Time Step: 0.007036164382793346s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03971023434312634A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53729)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5506241387295712, 0.23925243624120227, 0.6797220654499173, 0.5814864190444957, 0.1310673221064282, 0.501467827117764, 0.9243252242479391, 0.8167811677432052, 0.7126287354724057, 0.7758163357613113], Time Step: 0.008425154684550653s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.04981938601218048A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53730)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.3017482900619969, 0.4788998319399961, 0.5032904653568417, 0.6325673647726611, 0.19589744662821607, 0.6289149723809554, 0.7704448664752284, 0.7610208709838792, 0.526277979375845, 0.16771368426484415], Time Step: 0.006059902627915288s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03009817755446597A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53731)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.17050256412600384, 0.1056811928524115, 0.5288470565130928, 0.9471409727383157, 0.9544234694553246, 0.1881510681110229, 0.10668059868242584, 0.10984510349022654, 0.31064181895061116, 0.7477671174639414], Time Step: 0.007993485725424038s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.033330285252383886A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53732)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.9948764965702401, 0.44997663215921135, 0.8871405136303381, 0.4080955115477485, 0.33221030246988326, 0.13592393996387908, 0.6226394762881732, 0.6941168442371464, 0.37092885584652024, 0.36589071756105895], Time Step: 0.001050254817067835s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.005526230051054594A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53733)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.9256831849296712, 0.7467371329577723, 0.7876764594431612, 0.13525460095423483, 0.35041476112418857, 0.6894492659990565, 0.4819610422960019, 0.9962653357711285, 0.5599288017182, 0.6841743945769175], Time Step: 0.006277349337017972s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.03990853076382324A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53734)
00:52:09 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.6203332482575231, 0.49373436127727777, 0.2541240571200949, 0.7200457417971509, 0.37726227687162217, 0.3726602402948267, 0.87439104915443, 0.4636074662211096, 0.398186905542371, 0.4047297468424782], Time Step: 0.008496672804456845s
00:52:09 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.0423055719372608A
00:52:09 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53735)
